pdes,M1,K1,source_citation,notes
1874 H1,5.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 41P (wrong; 41P/Tuttle-Giacobini-Kresak peri 1874-05-15 doesn't match — this is the great Coggia of 1874); body identifies as 'Bright comet. Discovered by Coggia (Marseilles) on 17 April... visible to the naked eye [in June], tail 6-8' wide... 1-2m head' = Great Comet of 1874 = 1874 H1 (Coggia) per target list peri 1874-07-09; Holetschek H1=4m.3; C.A.M. H10=5m.7 (Big V notes Schmidt's 'essentially underestimated values'); Bobrovnikoff n=4.95, y=12.3, H0=6m.5; Kritzinger y=13, H10=5m.4; chose C.A.M.; sanity check: M1=5.7 with r_peri=0.68, Δ_min~0.29 → peak ~mag 1.4 (consistent with reported peak ~mag 1, naked-eye great comet); page-image proofread vs page 240-242: confirmed"
1874 Q1,6.2,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 1874 H1 (wrong; that was the previous great-comet entry 1874 III); body identifies as Coggia's 19 Aug 1874 discovery in Taurus, much fainter and a separate apparition = 1874 Q1 (Coggia) per target list peri 1874-07-18 (post-peri discovery); only E-II H10=6m.2 cited; D1max=2'.6 to 4'.0; page-image proofread vs page 242: confirmed"
1874 O1,8.2,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 1874 Q1 (wrong); body identifies as Borrelly's 25 July 1874 discovery, perihelion ~late Aug from r,Δ → 1874 O1 (Borrelly) per target peri 1874-08-27; E-II H10=8m.2 (in Oct., 10m.5 — fading post-peri); chose pre-peri E-II value per §3.3; D1=3'.1; page-image proofread vs page 242: confirmed"
1874 X1,7.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1874 O1 (wrong; that's the previous Borrelly entry 1874 V); body identifies as Borrelly's 6 Dec 1874 discovery in Corona Borealis, post-peri (peri 1874-10-19) → 1874 X1 (Borrelly); E-II H10=8m.0; Big V synthesis H10=7m.6 — chose Big V's value as more recent reappraisal; D1=2'.5; page-image proofread vs page 243: confirmed"
1877 C1,8.9,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Borrelly) + perihelion early Feb 1877 → 1877 C1; Holetschek H1=8m.8 (m=6m for 10-18 Feb); C.A.M. H10=8m.9; Big V synthesis H10=8m.2; D1=7'.8 to 5'.1; chose C.A.M. per §3.1; page-image proofread vs page 244-245: confirmed
1877 G2,6.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Swift, Block, Borrelly) + perihelion April 1877 → 1877 G2 (Swift); E-II H10=7m.5; ASYMMETRIC: pre-peri H10=6m.7, post-peri (May-June) H10=9m.2; took pre-peri (brighter) per §3.3; D1=2'.2 to 2'.7; rapid drop in May; page-image proofread vs page 246-247: confirmed"
1877 T1,6.0,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Tempel) + body discovery 2 Oct 1877 → 1877 T1 (Tempel); E-II H10=6m.0; nucleus brilliance h10=8m.1; end Oct H10=7-8m (fading post-discovery); discovered 4.5 months after perihelion passage; chose E-II per §3.1; page-image proofread vs page 247-248: confirmed
1877 R1,6.3,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Coggia) + body discovery 13 Sept 1877 → 1877 R1 (Coggia); E-II H10=6m.3; nucleus h10=9m.3; D1=2'; page-image proofread vs page 248: confirmed
1878 N1,8.5,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Swift); only E-II H10=8m.5 cited; observed only 4 days; brief photometry; page-image proofread vs page 248: confirmed
1879 M1,4.5,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Swift) + body discovery 16 June 1879 → 1879 M1 (Swift); E-II H10=4m.5; nucleus h10=8m.1; D1=4'.9; discovered ~50 days after perihelion; page-image proofread vs page 250: confirmed
1879 Q1,5.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Palisa) + body discovery 21 Aug 1879 → 1879 Q1 (Palisa); C.A.M. H10=6m.0; nucleus y=17m, h0=6m.2 from Harvard; Big V synthesis H10=5m.5 from Schmidt's estimates — preferred as Big V's own consolidated value; D1=5'.5 to 7'; page-image proofread vs page 251-252: confirmed"
1880 C1,7.1,10.0,"Vsekhsvyatskij 1958, other","matched by descriptive name (Great Southern); script Roman-fallback flagged medium but body confirms — large southern comet, tail visible from S. America/S. Africa/Australia from 31 Jan; Holetschek H1=7m; C.A.M. H10=8m.7 — Big V flags 'an obvious underestimate' (similar to V1 Donati pattern); ASYMMETRIC: Big V synthesis H10=7m.1 first period (taking m=3m on 5 Feb per Eddie), H10=8m.9 end of observations; took pre-peri (brighter) per §3.3; comet 'apparently grew rapidly faint'; popular_name uses 'Great Southern Comet 1880' since target_list comet_name is 'C/1880 C1 (Great southern comet)'; sanity check: M1=7.1 implies modest peak (this was a low-altitude tail-only sungrazer fragment, consistent); page-image proofread vs page 252-253: confirmed; ERRONEOUS C.A.M. flagged"
1880 G1,2.7,10.0,"Vsekhsvyatskij 1958, other",matched by name (Schaeberle) + body discovery 6 April 1880 → 1880 G1; E-III H10=2m.7 (E-III ≠ E-II per session V5; falls under 'other' per §3.1 source format); nucleus h10=6m.1; D1=3'.7; chose E-III; sanity check: M1=2.7 is bright but Schaeberle's Comet was indeed a bright object with a tail visible to naked eye; page-image proofread vs page 253: confirmed
1880 S1,7.6,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Hartwig) + body discovery 29 Sept 1880 → 1880 S1 (Hartwig); Holetschek H1=7m.3; C.A.M. H10=7m.6; Big V synthesis H10=7m.7±0m.7; nucleus h10=9m.8; chose C.A.M. per §3.1; page-image proofread vs page 253-254: confirmed
1880 Y1,5.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Pechule) + body discovery 16 Dec 1880 → 1880 Y1 (Pechule); Holetschek H1=6m.3 (from Kobold's 22 Dec estimate); C.A.M. H10=5m.8; Big V synthesis H10=5m.8 from 14 instances (matches C.A.M.); nucleus h10=7m.1; brightness increase Feb-Mar; D1max=11'.5; chose C.A.M. per §3.1; NOTE: Big V's 1880 V (Cooper, 21 Dec) appears to be the same comet (target list has only 1880 Y1 in late Dec 1880); Cooper's row excluded as duplicate of this entry (more substantive); page-image proofread vs page 256: confirmed"
1926 B1,10.6,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Blathwayt) + 16 Jan 1926 Bloemfontein discovery; C.A.M. Hip=10m.6 (printed 'Hip' = H10 OCR artefact); yields m=13m.8 for 5 April 1926 (matches Schorr); D1=2'.0 to 4'.5; nucleus 10m.8 to 16m; rapid faintening; page-image proofread vs p438-439: confirmed
22P,8.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'first recorded apparition of the short-period Comet Kopff' = 22P; V.I y=2.7 H0=10m.6 (Wirtz); other observations y=8.6 H0=9m.3 (Hartwig/Abetti/Nijland); M.N. 90:714 Hm=8m.4 Hb=7m.5 Hs=8m.9; C.A.M. H10=8m.4; chose C.A.M. per sec 3.1; periodic — will dedupe with other 22P apparitions; non-standard y=2.7 (Wirtz, very flat); page-image proofread vs page 367-368: confirmed; periodic dedupe across apparitions [1926 II: M1=10.8; 1932 III: M1=9.8; 1939 II: M1=10.1; 1919 I: M1=8.6]"
1925 X1,9.3,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Ensor) + 13 Dec 1925 Pretoria discovery; C.A.M. H10=9m.3 for initial period; for Feb-March H1 fainter than 11m.5 (post-peri fading — comet seen disintegrating); chose initial-period C.A.M. per §3.1 (brighter representative per §3.3 conceptually); D1=3 to 4'; S=0.030; tail anomalous (synchrone hypothesis); page-image proofread vs p439-440: confirmed
15P,9.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Finlay); FIRST recorded apparition of 15P/Finlay; Holetschek H1=10.1 (pre-peri) and 9.0 (post-peri); Vsekhsvyatskii Hm=9.2, Hb=8.6, He=9.5; avg 9.2; In C.A.M., H10=9.2; periodic — will dedupe with other 15P apparitions; page-image proofread vs page 285: confirmed; periodic dedupe across apparitions [1926 V: M1=11.6; 1893 III: M1=9.2; 1906 V: M1=9.0]"
21P,11.3,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'second recorded apparition of the short-period Comet Giacobini-Zinner' = 21P; Ebell/Viljev established identity with 1900 III orbit; Holetschek H1=10m.0-13m.3; V.II H10=10m.2; M.N. 90:714 Hm=11m.3 Hb=10m.4 Hs=12m.4; C.A.M. H10=11m.3 (matches M.N. Hm); chose C.A.M. per sec 3.1; periodic — will dedupe with other 21P apparitions; tail 25-30' long photographically; page-image proofread vs page 400: confirmed; periodic dedupe across apparitions [1926 VI: M1=11.5; 1933 III: M1=12.1; 1900 III: M1=11.6; 1907 III: M1=12.3]
1927 B1,7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Reid) + 25 Jan 1927 Capetown discovery; Big V's 'Taking m=8m for end of January and m=9.5 to 10m for beginning of March, C.A.M. obtained H10=7m.8'; brightness decreased sharply; observed only at southern observatories; page-image proofread vs p442: confirmed"
25D,10.7,10.0,"Vsekhsvyatskij 1958, E-I",ENTRY MERGED with 1926 VII in segmenter — body contains '1927 I (1926g). The second recorded apparition of the short-period Comet Neujmin (2) (1916 II; the 1921 return was overlooked)' = 25D; E-I H10=10m.7 initial period; average H10=11m.9; post-peri H10=10m.7; took initial/post-peri brightest 10.7 per §3.6 (brightest); periodic — will dedupe with other 25D apparitions; bigv_designation_old=1927 I (Big V's actual print); page-image proofread vs p442-443: confirmed; periodic dedupe across apparitions [1916 II: M1=10.7]
1927 A1,7.4,10.0,"Vsekhsvyatskij 1958, E-I",matched by name (Blathwayt) + 11 Jan 1927 Bloemfontein discovery; only E-I H10=7m.4 cited for initial period; March H10=8.5 to 9m (post-peri fading); took initial-period brighter per §3.3; not detected in northern hemisphere; page-image proofread vs p443: confirmed
32P,9.0,10.0,"Vsekhsvyatskij 1958, E-I",matched by name (Comas Sola) + 5 Nov 1926 Barcelona discovery + body 'first recorded apparition of the short-period Comet Comas Sola' = 32P; segmenter labeled 1927 II but Big V actually prints 1927 III (Roman numeral OCR confusion); E-I H10=9m.0 (figures y=2 and H0~11m flagged uncertain); D1=3'.1; periodic — will dedupe with other 32P apparitions; page-image proofread vs p443-444: Big V prints '1927 III (1926f)' — confirmed Roman III not II; periodic dedupe across apparitions [1935 IV: M1=9.6]
1927 E1,2.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Stearns) + 10 March 1927 discovery; C.A.M. H10=2m.0 from observations for the first period; van Biesbroeck/Struve/Baade close to y=10, H0=1m.88; observed for 4 years (longest series in Big V era); last seen at r=11.5 AU; sanity check: at r=3.68, Δ=2.70 with K1=10 yields m=9.8 vs reported 8.5 — consistent; page-image proofread vs p444-446: confirmed; FAMOUS far-distance comet; very bright intrinsic but never close to Earth"
26P,12.5,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'second recorded apparition of the short-period Comet Grigg-Skjellerup (1902 II)' = 26P; A.Zh. 7:215 H10=13m; C.A.M. H10=12 to 13m (took mid 12.5); Big V from 20-25 May m=10m -> H10=13m.1; from 20-25 July m=15m -> H10=15m (rapid post-peri fading); ASYMMETRIC; chose C.A.M. midpoint per sec 3.4 range-only; periodic — will dedupe with other 26P apparitions; close approach to Earth (Δ=0.27); page-image proofread vs page 424: confirmed; periodic dedupe across apparitions [1927 V: M1=13.0; 1932 II: M1=12.9; 1937 III: M1=15.0; 1902 II: M1=9.0]
34D,9.2,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Gale) + 7 June 1927 Sydney discovery + body 'first recorded apparition of the short-period Comet Gale' = 34D; E-I H10=9m.2 (printed as 'in =T) rig = 9 20' — pymupdf garble for 'In E-I, H10=9m.2'); D1=1'; one of Saturnian comets; periodic — will dedupe with other 34D apparitions; page-image proofread vs p446-447: confirmed E-I cite, H10=9m.2; periodic dedupe across apparitions [1938 I: M1=10.0]"
24P,10.5,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'third recorded apparition of the short-period Comet Schaumasse' = 24P; C.A.M. H10=10 to 11m (range — took midpoint 10.5 per §3.4); van Biesbroeck Oct/Dec H10=10m.0; Jan 1928 H10=11m; D1=1'.4; periodic — will dedupe with other 24P apparitions; page-image proofread vs p448: confirmed; periodic dedupe across apparitions [1919 IV: M1=10.9]
1927 X1,5.2,10.0,"Vsekhsvyatskij 1958, other","matched by name (Skjellerup, Maristany) + bright comet end-Nov 1927 Australia/S.America = FAMOUS Great Southern Comet 1927 = 1927 X1 per target list peri 1927-12-18; C.A.M. H10=7m.2 flagged 'an apparent underestimate' (V1 pattern); Big V's synthesis: y=13.1, Hy=5m.3, H10=5m.2 (NON-STANDARD high y exponent); Baldet B.S.A.F. 43:401 also reports brightness varied more rapidly than r^-4*Δ^-2; took Big V synthesis 5.2 per V1 override rule; ERRONEOUS C.A.M. flagged; FAMOUS — sanity check: M1=5.2 with r=0.18, Δ=0.83 around 18 Dec → m=5.2+5log(0.83)+10log(0.18)≈5.2-0.4-7.4=-2.6, observed peak ~-6 reported 15 Dec (sungrazer geometry, K1=10 underestimates near-peri due to high y); the K1=10 fit is correct but cannot capture true peak; popular_name uses 'Skjellerup-Maristany' per target list and 'Great Comet 1927' alias; page-image proofread vs p448-450: confirmed"
30P,10.2,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Reinmuth) + 22 Feb 1928 Heidelberg discovery + body 'first recorded apparition of the short-period Comet Reinmuth' = 30P; C.A.M. H10=10m.2 according to H. Struve, van Biesbroeck, Wolf et al.; for first observation period Hjg=9m.7; comet's brightness decreased much more rapidly than y=10 (NON-STANDARD); periodic — will dedupe with other 30P apparitions; page-image proofread vs p450: confirmed; periodic dedupe across apparitions [1935 II: M1=11.5]"
27P,7.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Crommelin/Forbes) + body 'third recorded apparition of the periodic Comet Crommelin (Pons-Coggia-Winnecke-Forbes)' = 27P; C.A.M. H10=12 cited as apparent underestimate (Big V notes it's based on van Biesbroeck's underestimating tendency); Big V's synthesis from 25 Oct m=7.5, 19-21 Nov m=6-7m, 1 Dec m=9-10m, 20 Dec m=12: H10=7.7 to 9m.2 first period, H10=12 second period; took first-period brighter end 7.7 per §3.3 (brightest); ERRONEOUS C.A.M. flagged (V1 pattern); periodic — will dedupe with other 27P apparitions; page-image proofread vs p452: confirmed"
31P,7.5,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Schwassmann + Wachmann) + body 'first recorded apparition of the short-period Comet Schwassmann-Wachmann (2)' = 31P; Kanda Tokyo Bull. y=5, H0=9m.9 (when y=10 H10=8m.2); E-I 'from numerous estimates H10=7m.5 (till beginning of February) and H10=8m.3 (second period)'; took E-I first-period 7.5 (brighter) per §3.3; periodic — will dedupe with other 31P apparitions; page-image proofread vs p452-453: confirmed; periodic dedupe across apparitions [1935 III: M1=9.9]"
37P,9.9,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Forbes) + body 'first recorded apparition of the short-period Comet Forbes' = 37P; E-I H10=11m.4 from van Biesbroeck estimates; y=18, H0=9m.1 (not very reliable — very high y indicates non-standard photometry); for initial period m=10-11m, H10=9m.9 (brighter); took initial-period 9.9 per §3.6 brightest for periodics; periodic — will dedupe with other 37P apparitions; page-image proofread vs p453: confirmed"
42P,10.8,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Neujmin) + body 'first recorded apparition of the short-period Comet Neujmin (3)' = 42P; Boyer/Willis y=5, H0=12m.4 (gives H10=10m.8); E-I from all estimates H10=10m.8; D1=0'.8; periodic — will dedupe with other 42P apparitions; page-image proofread vs p454: confirmed"
1930 D1,12.5,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Schwassmann-Wachmann + Peltier) + 18-20 Feb 1930 discovery; C.A.M. H10=12m.5 from H. Struve/Schwassmann/Wachmann/Peltier/van Biesbroeck initial-period estimates; from March H10=14m.5 (rapid faintening); chose initial-period C.A.M. 12.5 per §3.1; D1=1'.5; brief apparition (~5 weeks); page-image proofread vs p454: confirmed
1929 Y1,8.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1930 D1 (wrong; that's the previous 1930 I Peltier-Schwassmann-Wachmann); body identifies as Wilk's 20 Dec 1929 Cracow discovery in Lyra → 1929 Y1 (Wilk) per target list peri 1930-01-22; Kukarkin A.N.243:113 from 77 estimates y=10.4, Hy=8m.5 (essentially equal to H10=8m.5); C.A.M. H10=8m.4; Bobrovnikoff y=10.7 H0=8m.34; chose C.A.M. 8.4 per §3.1; tail spectrum studied (CN, C); main tail type I (Vorontsov-Vel'yaminov); page-image proofread vs p454-455: confirmed"
1930 F1,8.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1929 Y1 (wrong — that's previous Wilk Dec 1929 entry 1930 II); body identifies as Wilk 21 March 1930 separate discovery → 1930 F1 (Wilk) per target list peri 1930-03-28; Vorontsov-Vel'yaminov y=10.7, H0=8m.95±0m.5; Kukarkin Tr.Tashkent Obs. y=12.2, H0=9m.04; Deich variable y; Bobrovnikoff y=11.2, H0=8m.64; C.A.M. H10=8m.8; chose C.A.M. per §3.1; tail type I, spectrum studied; observed extensively at Pulkovo; page-image proofread vs p455-457: confirmed"
1930 E1,6.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Beyer) + 4 March 1930 Hamburg discovery on a 26 Feb plate; C.A.M. y=7.0, H0=7m.8, H10=6m.8; agrees with observations through 13 Aug 1931 (very long observation period); D1=3'.6; periodic? long-period (per orbit data showing 2.5-5 AU); chose C.A.M. per §3.1; page-image proofread vs p457: confirmed"
1930 L1,9.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Forbes) + 31 May 1930 Rosebank discovery → 1930 L1 (Forbes) per target list peri 1930-05-10 (post-peri discovery, hence rapid faintening); C.A.M. for initial period H10=9m.3; after 21 June H10=11m (see also E-I); from estimates upon discovery H10=9.2 to 8.5 (brighter end), end of June H10=12-13m; chose initial-period C.A.M. 9.3 per §3.1; comet 'apparently was rapidly exhausted' (NON-STANDARD photometric law); D1=3'.8 to 4'.7; page-image proofread vs p458: confirmed"
73P,11.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1930 E1 Beyer (wrong; that's 1930 IV the previous entry); body identifies 1930 VI as 'Discovered by Schwassmann and Wachmann (Bergedorf) on 2 May... independently by Blathwayt (Johannesburg) on 3 June' — confirmed first apparition of 73P/Schwassmann-Wachmann 3 per target list peri 1930-06-14 matching (r,Δ) data 2 June r=1.03; C.A.M. H10=11m.7 from initial-period estimates; Baldet h10=19m.4 (nucleus); end-May/June H10=12m.6 to 14m; main tail type I; periodic — will dedupe with other 73P apparitions; page-image proofread vs p458-459: confirmed"
28P,10.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'first recorded apparition of the short-period Comet Neujmin(1)' = 28P/Neujmin 1; V.I y=6.9 H0=9m.9 (van Biesbroeck/Millosewich); Graff y=11.0 h0=10m.8; C.A.M. H10=10m.3 (gives m=15m.2 on 30 Dec, good agreement); chose C.A.M. per sec 3.1; periodic — will dedupe with other 28P apparitions; near-asteroidal appearance (very faint envelope); page-image proofread vs page 398-399: confirmed; periodic dedupe across apparitions [1931 I: M1=10.9]"
1931 O1,3.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Nagata) + 15 July 1931 California discovery; segmenter labels '1931 II' but Big V actually prints '1931 III' (Roman III misread as II); C.A.M. H10=3m.7 according to high estimates for October 1931 (after brightness flare on 6 Oct — factor of 100 increase); for July-November 1931 H10=4m.7; for Feb-April 1932 H10=7m.7; chose C.A.M. high-estimate value 3.7 per §3.1; sanity: Oct 1931 m=8(!) reported, M1=3.7 with r=2.2 Δ=2.99 → m=3.7+5log(2.99)+10log(2.2)=3.7+2.38+3.42=9.5 vs observed 8 (acceptable, brightness flare context); SPECIAL: brightness flare event noted; page-image proofread vs p461-462: confirmed"
1931 P1,6.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Ryves) + 10 Aug 1931 Saragossa discovery; preliminary C.A.M. H10=6m.3; E-I y=11.2, Hy=7m.4 (4 estimates); August + October only H10=6m.6; December H10=8m.7 (post-peri faint); chose C.A.M. preliminary estimate 6.3 per §3.1; sanity: M1=6.3, peri=0.08 (sungrazer), Δ_min=1.10 → naked-eye visibility 14 Aug confirmed by van Biesbroeck (m=4); long observation period 4 months; page-image proofread vs p462-463: confirmed"
1932 H1,6.0,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Carrasco) + 22 April 1932 Madrid discovery (5 months after perihelion late 1931); E-I H10=6m.0; nearly 1m fainter at end of observation period; D1=4' April, 1' May; long-distance object (r=2.7-3.4 AU); chose E-I per §3.1; comet given Big V designation 1931 V despite 1932 discovery because Big V uses perihelion-passage year; page-image proofread vs p463: confirmed"
1932 G1,9.3,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Houghton + Ensor) + 1-2 April 1932 Cape/Pretoria discovery; E-I from 14 estimates April-May: y=11.2, H0=8m.9, H10=9m.3; June H10=11m; chose E-I H10=9.3 per §3.1 (apparition-specific synthesis); D1=5'.8 to 3'.5 April; page-image proofread vs p463-464: confirmed"
19P,9.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'first recorded apparition of the short-period Comet Borrelly' = 19P; Holetschek H1 8m.7-11m.2 from own estimates; from Wirtz y=4.7, H0=10m.8; C.A.M. H10=9m.0; chose C.A.M. per sec 3.1; periodic — will dedupe with other 19P apparitions; non-standard y=4.7; page-image proofread vs page 362: confirmed; periodic dedupe across apparitions [1932 IV: M1=9.2; 1911 VIII: M1=9.5; 1918 IV: M1=10.2]"
1932 P1,8.1,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Peltier + Whipple) + 8 Aug 1932 Delphos discovery; E-I average y=21, H0=7m.6, H10=8m.1 (NON-STANDARD high y=21 photometric law); Beyer y=22.2, H0=7m.5; Bernheimer A.N.248:195 H0=6.96; Bobrovnikoff y=28.5, H0=7m.4; chose E-I H10=8.1 per §3.1; D1=3'.0; tail type I; comet visible to naked eye 10 Aug; sanity: M1=8.1 with r=1.06, Δ=0.55 around 18 Aug → m=8.1+5log(0.55)+10log(1.06)=8.1-2.6+0.25=5.8, observed 6.5-7.1 ✓; page-image proofread vs p466-467: confirmed"
1932 M2,3.5,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Geddes) + 22 June 1932 Otekura discovery near south pole; E-I y=9.6, H0=3.6, H10=3m.5 from 41 estimates; Beyer y=10.1, H0=3m.2; Bobrovnikoff y=6.2, H0=5m.1 (Big V notes Bobrovnikoff's parameters disagree with observations — 19 July 1934 predicted m=14.2 vs obs); chose E-I per §3.1 (Bobrovnikoff implicitly flagged as incorrect by Big V); D1=4'.4 Feb-March 1933; observed for 2 years; sanity: M1=3.5, peri r~2.32, Δ_min=1.99 → m=3.5+5log(1.99)+10log(2.32)=3.5+1.49+3.65=8.64, observed 8-10m at brightest ✓; page-image proofread vs p467-468: confirmed"
1932 M1,9.2,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Newmann/Newman) + 1 June 1932 Lowell Obs photographic discovery; E-I y=11.4, H0=8m.8, H10=9m.2 from 32 estimates by van Biesbroeck/Schorr/Kaiser; rapid decrease in brightness; D1=2'.8-3'.5; satellite/fragment observed at 20' (interesting double comet); chose E-I per §3.1; page-image proofread vs p468-469: confirmed"
16P,7.3,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Brooks); FIRST recorded apparition of 16P/Brooks 2; Brooks New York 6 July 1889; comet split into multiple satellites (B,C dissipated; A=main); Holetschek H1=7.9 to 9.2; In C.A.M., H10=7.3; Konopleva 1953 H10(av)=7.2 max=8.9 min=6.0; periodic — dedupe with other 16P apparitions; page-image proofread vs page 302: confirmed; periodic dedupe across apparitions [1932 VIII: M1=10.0; 1939 VII: M1=11.2; 1896 VI: M1=8.0; 1903 V: M1=9.5; 1911 I: M1=10.5; 1925 IX: M1=10.1]"
1932 Y1,8.7,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Dodwell + Forbes) + 15-17 Dec 1932 Cape/New Zealand discovery → 1932 Y1 per target list peri 1932-12-30; E-I y=26, H0=7m.3, H10=8m.7 from 40 estimates; rapid drop end of February (post-peri); March/April H10=11-12m.5; Beyer y=16.6, H0=7m.7; Bobrovnikoff y=5.2, H0=8m.9 (gives m=12.2 in early April, 5m off observation — flagged disagreement); chose E-I per §3.1; D1=3'.0; tail type I; chose initial brighter value; page-image proofread vs p470-471: confirmed"
1933 D1,9.5,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Peltier) + 16 Feb 1933 Delphos discovery; E-I from 49 estimates y=18.7, H10=9m.5, H10=10m.5 (initial period — printed as two values; took brighter 9.5 for initial period); rapid faintening end-March/April H10=12-13m; Beyer y=8.0, H0=9m.9, H1=9.9-10.7; brightness flare around 24 Feb noted; D1=1'.6; chose E-I 9.5 per §3.1 (initial period brighter per §3.3); page-image proofread vs p471-472: confirmed"
36P,8.0,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Whipple) + body 'first recorded apparition of the short-period Comet Whipple' = 36P; E-I from Jeffers/Kaiser estimates H10=8m.0; Cillie+Johnson H.A.C.409 from 25 estimates y=15, H0=6m.3 (NON-STANDARD high y); chose E-I per §3.1; D1=1'.6 Dec 1933; periodic — will dedupe with other 36P apparitions; page-image proofread vs p473: confirmed"
14P,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Wolf); third recorded apparition of 14P/Wolf; Hussey Lick Obs 16 June 1898 rediscovery per Thraen; Vsekhsvyatskii M.N. 90:713 H10(av)=8.0; Hb=7.3; He=8.5; In C.A.M., H10=8.0; Bobrovnikoff Pop.Astr. 56(3) 1948 H0=10.7 (erroneous reduction); Vsekhsvyatskii 1948 reappraisal H10(av)=7.78; H10(max)=7.0; H10(min)=8.6; periodic — dedupe with other 14P apparitions; page-image proofread vs page 340: confirmed; periodic dedupe across apparitions [1934 I: M1=12.4; 1884 III: M1=6.2; 1891 II: M1=7.78; 1912 I: M1=9.1; 1918 V: M1=9.9; 1925 X: M1=10.6]"
1935 M1,4.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Jackson) + body identifies as Jackson 3 June 1935 Johannesburg discovery — but Big V designates 1934 II because perihelion was 1934-09-06 (9 months before discovery); per target list peri 1934-09-06 = 1935 M1; Konopleva Publ.Kiev Obs.3 (1950) H10=4m.4; far-distance comet (r=4.24-4.75 AU at observation, m=13-16m); chose Konopleva (only cited value) → source 'other'; CAVEAT: with K1=10 (n=4) law, M1=4.4 at r=4.24 Δ=2.90 → m=4.4+5log(2.9)+10log(4.24)=4.4+2.31+6.28=12.99 vs observed 15m — Konopleva fit assumes brighter at r=Δ=1; consistent within 2m, suggests slightly different photometric law; flagged medium for far-distance fit caveat; D1=48'' July 1935; page-image proofread vs p474: confirmed"
1935 A1,9.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Johnson) + 7 Jan 1935 Johannesburg discovery → 1935 A1 per target list peri 1935-02-26; Beyer A.N.262:215 from 26 Feb-6 April estimates y=7.6, H0=9m.5; Bobrovnikoff y=6.9, H0=9m.8; Konopleva E-IV H10=10m.0; rapid faintening end of May (H10=12-13m); D1=2'.8; chose Beyer H0=9.5 (representative of bright period; Konopleva 10.0 cited as 'other' alternative); source 'other' (Beyer/Konopleva are not standard refs); spectrum has C-band larger than 3883/4710A; page-image proofread vs p475-476: confirmed"
