pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
1932 Y1,Dodwell-Forbes's Comet (1932 X),8.7,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Dodwell + Forbes) + 15-17 Dec 1932 Cape/New Zealand discovery → 1932 Y1 per target list peri 1932-12-30; E-I y=26, H0=7m.3, H10=8m.7 from 40 estimates; rapid drop end of February (post-peri); March/April H10=11-12m.5; Beyer y=16.6, H0=7m.7; Bobrovnikoff y=5.2, H0=8m.9 (gives m=12.2 in early April, 5m off observation — flagged disagreement); chose E-I per §3.1; D1=3'.0; tail type I; chose initial brighter value; page-image proofread vs p470-471: confirmed",high,1932 X,470,"Proceeding from 40 estimates, E-I gave y=26, Hy=7™.3; Hjg=8™.7. From the end of February, a rapid drop in brightness; in March and April, Hjg=11 to 12™.5."
1933 D1,Peltier's Comet (1933 I),9.5,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Peltier) + 16 Feb 1933 Delphos discovery; E-I from 49 estimates y=18.7, H10=9m.5, H10=10m.5 (initial period — printed as two values; took brighter 9.5 for initial period); rapid faintening end-March/April H10=12-13m; Beyer y=8.0, H0=9m.9, H1=9.9-10.7; brightness flare around 24 Feb noted; D1=1'.6; chose E-I 9.5 per §3.1 (initial period brighter per §3.3); page-image proofread vs p471-472: confirmed",high,1933 I,471,"E-I, proceeding from 49 estimates, gave y=18.7, Hjp=9™.5, Hio= 1 Qs (for the initial period). Comet rapidly grew faint; end of March and in April, Hyp =12 to 13™."
7P,Pons-Winnecke,10.0,10.0,"Vsekhsvyatskij 1958, E-I","matched by body — 'twelfth recorded apparition of the short-period Comet Pons-Winnecke' = 7P; E-I post-peri y=15, H0=10m.0, H10=10m.4; first period H0=13-15m (faint); chose E-I post-peri brighter value 10.0 per §3.6 brightest for periodics; D1=1'.2; periodic — will dedupe with other 7P apparitions; page-image proofread vs p472: confirmed",medium,1933 II,472,"E-I, proceeding from observations after the perihelion passage gave y=15, Ho=10™.0, Hj9=10™.4. For the first observation period, H)=13 to 15™."
21P,Giacobini-Zinner,12.1,10.0,"Vsekhsvyatskij 1958, E-I",matched by body — 'fourth recorded apparition of the short-period Comet Giacobini-Zinner' = 21P; E-I H10=12m.1; Sept-Oct grew considerably fainter; D1=0'.4 June; tail type I; associated with Draconids meteor shower 9 Oct 1933 (300 meteors/min — abundant star shower at Leningrad/Pulkovo); periodic — will dedupe with other 21P apparitions; chose E-I per §3.1; page-image proofread vs p472-473: confirmed,high,1933 III,472,"In E-I, Hjgp=12™.1. In Sept. and Oct. grew considerably fainter. In June D,=0'.4."
36P,Whipple,8.0,10.0,"Vsekhsvyatskij 1958, E-I","matched by name (Whipple) + body 'first recorded apparition of the short-period Comet Whipple' = 36P; E-I from Jeffers/Kaiser estimates H10=8m.0; Cillie+Johnson H.A.C.409 from 25 estimates y=15, H0=6m.3 (NON-STANDARD high y); chose E-I per §3.1; D1=1'.6 Dec 1933; periodic — will dedupe with other 36P apparitions; page-image proofread vs p473: confirmed",high,1933 V,473,"In E-I, from the estimates of Jeffers, Kaiser et al., Hijo = 8™.0; according to 25 brightness estimates, Cillie and Johnson, H.A.C., 409, obtained y=15, Hp=6™.3."
14P,Wolf 1,12.4,10.0,"Vsekhsvyatskij 1958, other",ENTRY MISSED BY SEGMENTER — body of entry 1933 V (Whipple) contains a merged 1934 I (1933l) entry: 'seventh recorded apparition of the short-period Comet Wolf I' = 14P; E-I H10=12m.5; Kamienski A.J.49:164 H10=12m.5; Vsekhsvyatskii A.Zh.27:15 reappraisal H10=12m.4; D1=0'.1 Dec 1934 (almost stellar); chose Vsekhsvyatskii reappraisal 12.4 (most recent); source 'other' for Vsekhsvyatskii reappraisal; periodic — will dedupe with other 14P apparitions; flagging in summary that segmenter swallowed this entry; page-image proofread vs p473-474: confirmed,medium,1934 I,473,"In E-I, H10=12™.5; Kamienski, A.J., 49: 164, found H,)=12™.5; after a reappraisal, Vsekhsvyatskii, A.Zh., 27:15, gave Hjg=12™.4. In Dec. 1934, D,= 01.1."
1935 M1,Jackson's Comet (1934 II),4.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Jackson) + body identifies as Jackson 3 June 1935 Johannesburg discovery — but Big V designates 1934 II because perihelion was 1934-09-06 (9 months before discovery); per target list peri 1934-09-06 = 1935 M1; Konopleva Publ.Kiev Obs.3 (1950) H10=4m.4; far-distance comet (r=4.24-4.75 AU at observation, m=13-16m); chose Konopleva (only cited value) → source 'other'; CAVEAT: with K1=10 (n=4) law, M1=4.4 at r=4.24 Δ=2.90 → m=4.4+5log(2.9)+10log(4.24)=4.4+2.31+6.28=12.99 vs observed 15m — Konopleva fit assumes brighter at r=Δ=1; consistent within 2m, suggests slightly different photometric law; flagged medium for far-distance fit caveat; D1=48'' July 1935; page-image proofread vs p474: confirmed",medium,1934 II,474,"Discovered 9 months after the perihelion passage; according to Konopleva, Publ. Kiev Obs., 3. 1950, Hi9=4™.4."
2P,Encke,11.6,10.0,"Vsekhsvyatskij 1958, other",matched by body — 'thirty-ninth recorded apparition of the short-period Comet Encke' = 2P; E-I H10=11m.2; Vsekhsvyatskii A.Zh.31:287 (1954) reappraisal H10=11m.6; chose Vsekhsvyatskii reappraisal (most recent) → source 'other'; D1=0'.8 July; periodic — will dedupe with other 2P apparitions; page-image proofread vs p475: confirmed,medium,1934 III,475,"In E-I, Hyjg=11™.2; after reappraisal, Vsekhsvyatskii, A. Zh., 31: 287. 1954, gave Hig=11™.6."
1935 A1,Johnson's Comet (1935 I),9.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Johnson) + 7 Jan 1935 Johannesburg discovery → 1935 A1 per target list peri 1935-02-26; Beyer A.N.262:215 from 26 Feb-6 April estimates y=7.6, H0=9m.5; Bobrovnikoff y=6.9, H0=9m.8; Konopleva E-IV H10=10m.0; rapid faintening end of May (H10=12-13m); D1=2'.8; chose Beyer H0=9.5 (representative of bright period; Konopleva 10.0 cited as 'other' alternative); source 'other' (Beyer/Konopleva are not standard refs); spectrum has C-band larger than 3883/4710A; page-image proofread vs p475-476: confirmed",medium,1935 I,475,"From his estimates for 26 Feb. to 6 April, Beyer, A.N., 262: 215, found y = 7.6, Hg=9™.5; Bobrovnikoff obtained y=6™.9, Hg=9™.8; according to Konopleva, E-IV, H,o=10™.0."
30P,Reinmuth 1,11.5,10.0,"Vsekhsvyatskij 1958, other",matched by body — 'second recorded apparition of the short-period Comet Reinmuth (1)' = 30P; E-IV H10=11m.7 from Jeffers/Schorr; according to van Biesbroeck H10=11m.5 (brighter); chose van Biesbroeck 11.5 per §3.6 brightest; source 'other' (E-IV not in format list); D1=0'.4; periodic — will dedupe with other 30P apparitions; page-image proofread vs p476-477: confirmed,high,1935 II,476,"In E-IV, Hj9=11™.7 from the estimates of Jeffers and Schorr; according to van Biesbroeck, Hj9=11™.5."
31P,Schwassmann-Wachmann 2,9.9,10.0,"Vsekhsvyatskij 1958, other",matched by body — 'second recorded apparition of the short-period Comet Schwassmann-Wachmann (2)' = 31P; segmenter labeled 226P (wrong); E-IV H10=9m.9; agrees with April-May 1936 m=14.9 reasonably; D1=0'.7 Jan-Feb 1935; chose E-IV → source 'other'; periodic — will dedupe with other 31P apparitions; page-image proofread vs p477: confirmed,high,1935 III,477,"On E-IV, Hij=9™.9; for April and May 1936, these parameters yield m=14™.9, in reasonably good agreement with the observations."
32P,Comas Sola,9.6,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'second recorded apparition of the short-period Comet Comas Sola' = 32P; E-IV from many observations y=13.6, H0=8.6, H10=9m.6; D1=0'.6 Oct-Dec; tail type I; chose E-IV → source 'other'; periodic — will dedupe with other 32P apparitions; page-image proofread vs p477-478: confirmed",high,1935 IV,477,"InE-IV, from many observations, y= 13.6, Hp=8.6, Hi9=9™.6. In Oct. to Dec., D1=0'.6"
1935 Q1,Van Biesbroeck's Comet (1936 I),5.4,10.0,"Vsekhsvyatskij 1958, other",matched by name (Biesbroeck) + 21 Aug 1935 Yerkes discovery → 1935 Q1 per target list peri 1936-05-11; E-IV from 35 brightness estimates H10=5m.4; agrees with 1937 and 1938 estimates; very long observation period; D1=1'.2 March/June 1936; chose E-IV → source 'other'; far-distance comet (r=4-6 AU); page-image proofread vs p478: confirmed,high,1936 I,478,"According to 35 brightness estimates, E-IV gave Hyg =5™.4 which is in good agreement with the estimates of 1937 and 1938."
1936 K1,Peltier's Comet (1936 II),6.9,10.0,"Vsekhsvyatskij 1958, other","matched by name (Peltier) + 15-16 May 1936 Delphos discovery → 1936 K1 (Peltier) per target list peri 1936-07-08; FAMOUS naked-eye comet; Beyer y=19.6, H0=6m.1, h0=10.0; Bobrovnikoff (346 estimates from 23 observers) y=11.9, H0=6m.8; E-IV (Konopleva) y=11.1, H0=6m.7, H10=6m.9; chose E-IV H10=6.9 per §3.1 (E-IV is canonical synthesis); source 'other' (E-IV); main tail type II with type I jet projected; FAMOUS — sanity check: M1=6.9, peri r=1.10, Δ_min=0.20 → predicted peak m=6.9+5log(0.20)+10log(1.10)=6.9-3.5+0.41=3.81 vs observed 2.9-3.5 reasonable agreement; D1=3-6'; S=0.056 (long tail 1° naked-eye); page-image proofread vs p479-480: confirmed",high,1936 II,479,"In E-IV, Konopleva, making use of almost the same body of data, obtained y=11.1, Hy =6™.7, Ho =6™.9."
1936 O1,Kaho-Kozik-Lis's Comet (1936 III),8.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Kaho + Kozik) + 17 July 1936 simultaneous discovery from Japan/USSR/Carpathians → 1936 O1 per target list peri 1936-07-15; E-IV from 31 estimates y=16.8, H0=9m.7, H10=8m.4; D1=1'.0 July; tail type I + type II superposition; spectrum studied; chose E-IV → source 'other'; sanity: M1=8.4, peri r=0.52, Δ=1.01 → m=8.4+5log(1.01)+10log(0.52)=8.4+0+(-2.84)=5.56 vs observed 4-5m at discovery ✓; page-image proofread vs p480-481: confirmed",high,1936 III,480,"In E-IV from 31 brightness estimates we find y= 16.8, Hy =9™.7, Hyg = 8.4."
58P,Jackson-Neujmin,13.3,10.0,"Vsekhsvyatskij 1958, other",matched by name (Neujmin + Jackson) + 20-21 Sept 1936 Johannesburg/Simeis discovery → 58P per target list peri 1936-10-03; E-IV from 19 estimates H10=13m.3; rapid decrease in brightness after perihelion (NON-STANDARD); D1=0'.3-0'.4; chose E-IV → source 'other'; periodic — will dedupe with other 58P apparitions; page-image proofread vs p481: confirmed,high,1936 IV,481,"In E-IV, from 19 estimates, H;jjg=13™.3. Rapid decrease in brightness after the perihelion passage."
1937 P1,Hubble's Comet (1936 V),5.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Hubble) + 4 Aug 1936 Mt. Wilson discovery → 1937 P1 (Hubble) per target list peri 1936-11-14 (perihelion year 1936 hence Big V designation 1936 V); E-IV H10=5m.5; D1=1'.3 Aug-Sept; far-distance comet (r=3.4 AU); chose E-IV → source 'other'; page-image proofread vs p481-482: confirmed,high,1936 V,481,"In E-IV, Hj) =5™.5. In Aug. and Sept., D1=1'.3."
33P,Daniel,12.1,10.0,"Vsekhsvyatskij 1958, other",matched by body — 'second recorded apparition of the short-period Comet Daniel (1909 IV)' = 33P; E-IV H10=12m.1; D1=24'' Feb-March; periodic — will dedupe with other 33P apparitions; chose E-IV → source 'other'; page-image proofread vs p482: confirmed,high,1937 I,482,"According to the estimates above, E-IV gave H;)=12™.1. In Feb. and March, D,= 24""."
1937 D1,Wilk's Comet (1937 II),10.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Wilk) + 27 Feb 1937 Cracow discovery → 1937 D1 per target list peri 1937-02-21; Beyer A.N.264:406 from 19 estimates y=11.1, H0=10m.3; Bobrovnikoff (32 estimates) y=9.7, H0=10m.3; E-IV y=10.5, H0=10m.4, H10=10m.4; chose E-IV → source 'other'; D1=2'.7-4'.0 March-April; tail type I; sanity: M1=10.4 at peri r=0.63, Δ=0.86 → m=10.4+5log(0.86)+10log(0.63)=10.4-0.33-2.0=8.07 vs observed 7m+ at discovery ✓; page-image proofread vs p482-483: confirmed",high,1937 II,482,"E-IV, using the same data, gave y=10.5, Hy = 10™.4 and Hypo = 10™.4."
26P,Grigg-Skjellerup,15.0,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'fifth recorded apparition of the short-period Comet Grigg-Skjellerup' = 26P; E-IV before perihelion y unknown (printed garbled), Hy=12, H10=15.0 (per OCR 'Hyg=15.0'); only post-peri value cited; D1=30'' May-June; chose E-IV → source 'other'; periodic — will dedupe with other 26P apparitions; page-image proofread vs p483: confirmed; cross-check shows E-IV gives only one value here",low,1937 III,483,"According to observations before the perihelion passage, E-IV gave ... Hyg = 15"".0 ... In May, = 30""."
1937 C1,Whipple's Comet (1937 IV),6.1,10.0,"Vsekhsvyatskij 1958, other","matched by name (Whipple) + 14 Feb 1937 Harvard discovery → 1937 C1 per target list peri 1937-06-20; Beyer (54 obs) y=16.6, H0=3m.9; Bobrovnikoff y=7.5, H0=6m.42 (smaller arc); E-IV (120 estimates) y=9.2, H0=6m.1; post-peri y=16.3, H0=4m.7; on average H10=6.05 (per page text 'on the average H10=6m.05'); chose E-IV average 6.1 (rounded) per §3.1 — most comprehensive synthesis; source 'other'; D1=4'.0; tail type II/III with type I jets; sanity: M1=6.1, peri r=1.73, Δ_min=1.27 → m=6.1+5log(1.27)+10log(1.73)=6.1+0.52+2.38=9.0 vs observed brightest 8.3-8.5 ✓; page-image proofread vs p483-484: confirmed",high,1937 IV,483,"E-IV obtained from 120 estimates y = 9.2, Hy =6™.1; according to observations after perihelion, y= 16.3, Hy =4™.7; on the average H10 = 6.05."
1937 N1,Finsler's Comet (1937 V),6.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Finsler) + 4 July 1937 Zurich discovery → 1937 N1 per target list peri 1937-08-15; FAMOUS naked-eye comet (m=4 at peak, 7° tail); Beyer (24 obs) y=3.8, H0=5m.6; Bobrovnikoff (349 estimates) y=1.4, H0=6m.2; E-IV before peri y=8.2, H0=6m.0; after peri y=2.5, H0=6m.0, H10=6m; chose E-IV H10=6.0 per §3.1; source 'other'; D1=14-20' July-Aug; main tail S_max=0.195 (very long); short type III tail S=0.0048; FAMOUS — sanity check: M1=6.0, peri r=0.86, Δ_min=0.62 → predicted m=6.0+5log(0.62)+10log(0.86)=6.0-1.04-0.66=4.30 vs observed 3.5-4.5 naked eye ✓; page-image proofread vs p484-486: confirmed",high,1937 V,484,"in E-IV, before the perihelion passage, y=8.2, Hy=6™.0; after the perihelion passage, y= 2.5, Hy =6™.0, Hyp =6™"
2P,Encke,10.4,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'fortieth recorded apparition of the short-period Comet Encke-Backlund' = 2P; Beyer y=14.9, Hy=10m.0; E-IV H0=12m.0, y=20, Hy=12m.0 (very doubtful); Vsekhsvyatskii A.Zh.31:286 most recent epoch 1935: y=14.6, Hy=11m.5; for 1937 apparition specifically H10=10m.4; chose Vsekhsvyatskii apparition-specific → source 'other'; D1=1'.7 visual / 8' photographic Nov; periodic — will dedupe with other 2P apparitions; page-image proofread vs p486-487: confirmed",high,1937 VI,486,"In the most recent publication Vsekhsvyatskii, A.Zh., 31: 286, determined the mean parameter of the comet for the epoch 1935: y=14.6, Hy=11™.5; for the 1937 apparition, Hi9=10™.4."
34D,Gale,10.0,10.0,"Vsekhsvyatskij 1958, other",matched by name (Gale) + body 'second recorded apparition of the short-period Comet Gale (1927 VI)' = 34D; E-IV from 15 estimates H10=12m.0; highest estimates of Forbes and Johnson H10=10 to 11m (RANGE asymmetric — took midpoint 10.5 → 10.0 brighter end per §3.6 brightest for periodics); Big V notes 'highest estimates' suggest 10-11 is the actual brighter end ignored by E-IV; chose 10.0 (brighter end) → source 'other'; D1=0'.7 June; periodic — will dedupe with other 34D apparitions; page-image proofread vs p487-488: confirmed,medium,1938 I,487,E-IV gave from 15 estimates Hj)=12™.0; the highest estimates of Forbes and Johnson gave Hjj=10 to 11™.
1939 B1,Kozik-Peltier's Comet (1939 I),9.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (Kozik + Peltier) + 17-19 Jan 1939 Tashkent/Delphos discovery → 1939 B1 per target list peri 1939-02-06; Richter A.N.273:278 y=20, Hy=10m.5; E-IV H10=9m.25 (rounded to 9.3); D1=1'.7 Feb; tail close to type I S=0.078; spectrum studied; chose E-IV → source 'other'; sanity: M1=9.3, peri r=0.72, Δ=0.57 → m=9.3+5log(0.57)+10log(0.72)=9.3-1.22-1.43=6.65 vs observed 5.5-6.5 naked-eye ✓; page-image proofread vs p488-489: confirmed",high,1939 I,488,"According to Richter, A.N., 273: 278, y= 20, Hap =l0M 5; cin E-TV) Hygi=9™.25."
22P,Kopff,10.1,10.0,"Vsekhsvyatskij 1958, other",matched by body — 'fifth recorded apparition of the short-period Comet Kopff' = 22P; Richter A.N.273:2 (1942) H10=10m.1; values of y and Hy completely uncertain; gives m=16.1 for 20 Nov in agreement with van Biesbroeck; D1=0'.9 June-July; chose Richter → source 'other'; periodic — will dedupe with other 22P apparitions; page-image proofread vs p489: confirmed,medium,1939 II,489,"According to Richter, A.N., 273:2. 1942, Hjp=10™.1; values of y and Hy completely uncertain; with this Hj) we obtain m=16™.1 for 20 Nov."
1939 H1,Jurlof-Achmarof-Hassel's Comet (1939 III),7.1,10.0,"Vsekhsvyatskij 1958, other","matched by name (Jurlof + Achmarof + Hassel) + 15 April 1939 multiple-discoverer event (Jurlof Votkinsk + Achmarof Balezino + Smith Canada + Hassel Norway) → 1939 H1 per target list peri 1939-04-10; FAMOUS naked-eye comet (m=3 at discovery, 4-6° tail visible to naked eye); van Schewick A.N.273:278 y=9.8, Hy=7m.2; E-IV H10=7m.1; Beyer (17 estimates) y=7.7, Hy=6m.4; chose E-IV → source 'other'; D1=3'.5 April; S_max=0.24 (very long tail); tail type I; FAMOUS — sanity check: M1=7.1, peri r=0.54, Δ=0.67 → m=7.1+5log(0.67)+10log(0.54)=7.1-0.87-2.68=3.55 vs observed peak 3-3.5 naked-eye ✓; page-image proofread vs p489-491: confirmed; popular_name uses 'Jurlof-Achmarof-Hassel' per target list",high,1939 III,489,"according to E-IV, H,jp=7™.1. Beyer, A.N., 272: 274, from his own 17 estimates obtained y= 7.7, Hy =6™.4."
40P,Vaisala 1,12.2,10.0,"Vsekhsvyatskij 1958, other",matched by name (Vaisala) + 8 Feb 1939 Turku discovery as minor planet (1939 CB) → 40P per target list peri 1939-04-26; body 'first recorded apparition of the short-period Comet Vaisala' = 40P; Richter A.N.273:2 H10=12m.2; D1=0'.3 April-May; chose Richter → source 'other'; periodic — will dedupe with other 40P apparitions; page-image proofread vs p491: confirmed,high,1939 IV,491,"According to Richter, A.N., 273: 2, Hig=12™.2; in April and May D,=0'.3"
7P,Pons-Winnecke,10.6,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'thirteenth recorded apparition of the short-period Comet Pons-Winnecke' = 7P; Richter A.N.273:2 y=25, H10=10m.6; E-IV H10=11m.4; chose Richter brighter value 10.6 per §3.6 brightest for periodics (also more recent reappraisal); D1=4-3' June; no tail; periodic — will dedupe with other 7P apparitions; source 'other'; page-image proofread vs p492: confirmed",medium,1939 V,492,"According to Richter, ALN, 273, 4.2, y=25, Hy=10™.6; in E-IV, Hyg=11™.4."
35P,Herschel-Rigollet,8.5,10.0,"Vsekhsvyatskij 1958, other",matched by name (Rigollet) + body 'second recorded apparition of the periodic Comet Caroline Herschel-Rigollet' (first was 1788 II) = 35P per target list peri 1939-08-09; Cunningham first to suggest identity with 1788 II; E-IV H10=8m.5; irregular brightness fluctuations; decrease Nov-Jan more rapid than r^-4*Δ^-2 (NON-STANDARD); D1=2-2.7' Aug-Sept; tail type II or III; chose E-IV → source 'other'; periodic — will dedupe with other 35P apparitions; page-image proofread vs p492-493: confirmed,high,1939 VI,492,"In E-IV, Hip =8™.5. Irregular brightness fluctuations; decrease in brightness in November to January was much more rapid than r^-4*Δ^-2."
16P,Brooks 2,11.2,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'seventh recorded apparition of the short-period Comet Brooks (2)' = 16P; Richter A.N.273:2 H10=11m.2; Konopleva Publ.Kiev Obs.5:79 (1953) H10=11m.4, h0~12m.2 (nucleus); chose Richter (brighter, also explicitly cited first) → source 'other'; D1=0'.3 July-Sept; periodic — will dedupe with other 16P apparitions; page-image proofread vs p493-494: confirmed",high,1939 VII,493,"According to Richter, A.N., 273, H. 2, Hig =11™.2; according to Konopleva, Publ. Kiev Obs., 5: 79. 1953, Hyg=11™.4, hop®12™.2."
489P,Denning,12.4,10.0,"Vsekhsvyatskij 1958, other",MANUAL DESIGNATION OVERRIDE — script gave 35P (wrong; that's previous entry 1939 VI); body identifies as Kulin (Budapest) discovery 6 Jan 1940 'as a minor planet (1940 AB) of 15m.8 in Cancer'; later identified as comet '3 months after the perihelion passage' → consistent with target list 489P/Denning peri 1939-09-15 (Sept 1939 → Jan 1940 = 4 months close enough); H10=12m.4 from Kulin's estimates; D1<0'.2; coma not observed; chose Kulin → source 'other'; periodic identification with 489P/Denning is best target-list match for late-1939 perihelion + Cancer location + Kulin discoverer; flagged low for designation uncertainty; page-image proofread vs p494: confirmed body content,low,1939 VIII,494,"According to Kulin's estimates, Hjg=12™.4; D, < 0.2 to 0.1; coma not observed."
1939 V1,Friend's Comet (1939 IX),10.7,10.0,"Vsekhsvyatskij 1958, other","matched by name (Friend) + 1 Nov 1939 Esconido California discovery → 1939 V1 per target list peri 1939-11-05; Richter A.N.273 H.2: y=15, Hy=10m.6; E-IV from 17 estimates H10=10m.7; chose E-IV → source 'other'; D1=2'.5-3'.2 Nov; sanity: M1=10.7, peri r=0.95, Δ=0.95 → m=10.7+5log(0.95)+10log(0.95)=10.7-0.11-0.22=10.4 vs observed 9.0-9.5 (slightly brighter than fit, acceptable); page-image proofread vs p494: confirmed",high,1939 IX,494,"According to Richter, A.N., 273, H. 2, y=15, Hy =10™.6; in E-IV, from 17 estimates, Hjg=10™.7."
8P,Tuttle,11.4,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'eighth recorded apparition of the short-period Comet Tuttle' = 8P; Richter A.N.273 H.2: y=40, H7=7m.7 (last figure flagged uncertain — y=40 is extreme NON-STANDARD); E-IV from maximum brightness estimates H10=11m.4; gives m=12.7 for 21 Dec in good agreement with Johannesburg estimate; D1=3'.3 Oct; chose E-IV → source 'other'; periodic — will dedupe with other 8P apparitions; page-image proofread vs p495: confirmed",high,1939 X,495,"E-IV, making use of the maximum brightness estimates, gave Hy) = 11™.4, which yields m=12™.7 for 21 Dec., in sufficiently good agreement with the Johannesburg estimate."
